IMD,CP,APPSIMD  ,IMDPR,AAQC,IMD
2.79,1.856,0.0058,2.63,"25,014,717","17,252"
2.09,2.353,0.00341,2.78,"31,825,516","29,359"
2.04,2.241,0.00349,2.1,"26,641,182","28,637"
2.58,1.992,0.00496,2.04,"26,641,182","20,152"
2.72,2.62,0.00399,2.51,"34,746,741","25,088"
2.27,2.42,0.0036,2.61,"31,799,375","27,797"
2.19,2.172,0.00387,2.25,"28,293,959","25,839"
2.02,1.935,0.00401,2.16,"24,990,644","24,941"
1.72,2.335,0.00284,2.01,"29,899,981","35,259"
1.82,2.139,0.00327,1.82,"27,133,125","30,590"
1.79,2.098,0.00327,1.85,"26,384,436","30,608"
1.85,2.29,0.00309,1.81,"28,555,695","32,376"
2.02,2.006,0.00386,1.9,"24,806,647","25,921"
1.9,1.923,0.00383,2.01,"23,608,051","26,115"
1.78,1.493,0.00457,1.92,"18,199,540","21,901"
1.47,1.59,0.00354,1.88,"19,262,233","28,244"
1.44,1.387,0.00399,1.49,"16,698,407","25,073"
1.12,1.731,0.00249,1.52,"20,738,600","40,191"
1,1.468,0.00262,1.12,"17,520,208","38,170"
1.1,1.926,0.0022,0.95,"22,989,542","45,524"
0.75,1.301,0.00221,1.16,"15,480,263","45,264"
0.92,1.236,0.00285,0.9,"14,676,973","35,112"
0.74,1.177,0.00242,0.66,"13,884,822","41,324"
0.72,1.275,0.00218,0.63,"14,157,912","45,967"
